langCode,mappedName
bs,Bosnian
hr_HR,Croatian
nl_NL,Dutch
nl_BE,Flemish
fr_FR,French
fr_CA,French (Canada)
de_DE,German
el_GR,Greek
he,Hebrew
it_IT,Italian
ja_JP,Japanese
ko_KR,Korean
pl_PL,Polish
pt_PT,Portuguese
pt_BR,Portuguese (Brazil)
ro_RO,Romanian
ru_RU,Russian
sr_YU,Serbian (Latin)
sr_ME_Latn,Montenegrin
sl_SI,Slovenian
es_ES,Spanish
es_419,Spanish (LatAm)
uk_UA,Ukrainian
ar_SA,Arabic - Saudi Arabia
bg_BG,Bulgarian
zh_CN,Chinese (Simplified)
zh_TW,Chinese (Traditional)
mk_MK,Macedonian
th_TH,Thai
tr_TR,Turkish
vi_VN,Vietnamese
az_AZ_Latn,Azeri
cs_CZ,Czech
ka-GE,Georgian
kk-KZ,Kazakh
